,Date,Open,High,Low,Close,Volume,year,TrendValue,Trend,Up Days,Down Days,RSI,Close Rateofchange,OBV,VWAP,Prediction Value
36,2000-02-23,1745.2,1818.15,1689.2,1696.4,27905642,2000,37.0,Uptrend,37.0,0.0,97.35340828986567,0.06933938477054968,107569892,1655.6162498397935,1
37,2000-02-24,1696.4,1751.6,1693.1,1732.0,23492408,2000,-66.0,Downtrend,0.0,66.0,98.74701995412643,0.07986782218342792,131062300,1660.9534724691885,0
38,2000-02-25,1734.05,1757.05,1699.25,1710.45,19458640,2000,5.0,Uptrend,5.0,0.0,98.7027620694341,0.06963291851666575,111603660,1666.6304947974593,1
39,2000-02-28,1711.15,1726.65,1670.75,1722.55,27266318,2000,-30.0,Downtrend,0.0,30.0,98.99484091803495,0.11405380933902465,138869978,1672.7815488569518,0
40,2000-02-29,1722.85,1783.3,1626.35,1654.8,49498835,2000,56.0,Uptrend,56.0,0.0,98.52670307959232,0.0679574056147143,89371143,1682.038791223222,1
41,2000-03-01,1661.5,1727.9,1630.0,1712.7,37586272,2000,-55.0,Downtrend,0.0,55.0,99.01975715323236,0.07852644836272038,126957415,1687.5143100234436,0
42,2000-03-02,1713.65,1773.85,1690.05,1696.55,42276125,2000,45.0,Uptrend,45.0,0.0,98.71505353538289,0.0617372801802365,84681290,1694.9791282264216,1
43,2000-03-03,1696.45,1719.15,1644.4,1656.0,29500370,2000,-54.0,Downtrend,0.0,54.0,99.08200462823305,0.035161744022503605,55180920,1701.1507632765638,0
44,2000-03-06,1656.0,1721.0,1656.0,1688.5,32426509,2000,1.0,Uptrend,1.0,0.0,99.07611363979444,0.031712086032017694,87607429,1703.8450396162816,1
45,2000-03-07,1711.85,1730.85,1684.9,1702.75,36861204,2000,9.0,Uptrend,9.0,0.0,99.01751380743148,0.02405653285220266,124468633,1706.667019585206,1
46,2000-03-08,1717.75,1765.25,1654.45,1666.35,30249973,2000,34.0,Uptrend,34.0,0.0,98.7728338056353,-0.013789838132157617,94218660,1709.2123921643774,1
47,2000-03-09,1667.45,1692.25,1595.45,1646.25,27734646,2000,-73.0,Downtrend,0.0,73.0,99.21995432289374,-0.037955820476858415,66484014,1708.4564949896392,0
48,2000-03-10,1647.85,1680.45,1588.2,1602.75,23714154,2000,-11.0,Downtrend,0.0,11.0,99.2643496870822,-0.08727220956719817,42769860,1705.595926403001,0
